utt_id,seg_id,speaker,type,language,source_wav,audio_path,start_sec,end_sec,duration_sec,rms_dbfs,peak,clip_ratio,silence_ratio,text,keep,qc_reason,split
bambam__101c236931__r0000__u000,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u000.wav,25.613333333333333,37.0,11.386666666666667,-25.0,0.38786229491233826,0.0,0.09473684210526316,Maybe I should find a new love Maybe I'm wasting my nights ก็มาแล้วที่ฉันไม่ได้เจอ,True,ok,train
bambam__101c236931__r0000__u001,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u001.wav,37.45333333333333,49.45333333333333,12.0,-25.0,0.3669085204601288,0.0,0.04991680532445923,"But I'm still thinkin' Who's driving you home? Now you want me to raise a date Callin' your phone Man, I come close to yesterday",True,ok,train
bambam__101c236931__r0000__u002,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u002.wav,49.45333333333333,57.864000000000004,8.410666666666671,-25.0,0.3502851128578186,0.0,0.26128266033254155,"Wherever you go Can't turn, turn, turn Wait, I see One line where you're wrong",True,ok,train
bambam__101c236931__r0000__u003,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u003.wav,72.824,84.824,12.0,-24.999998092651367,0.40453773736953735,0.0,0.1314475873544093,"Maybe I should find a new love Maybe I'm wasting my life Can I love this shit, mate?",True,ok,train
bambam__101c236931__r0000__u004,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u004.wav,84.824,96.824,12.0,-25.000001907348633,0.3445379436016083,0.0,0.06156405990016639,But I'm still thinking Who's driving you home? They want me to raise a bit Calling your phone Make them continue to need,True,ok,train
bambam__101c236931__r0000__u005,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u005.wav,96.824,108.824,12.0,-25.000001907348633,0.2968965470790863,0.0,0.04326123128119801,"Wherever you go, getting to the way that's me Wondering where you're at Got me wondering, got me, got me",True,ok,train
bambam__101c236931__r0000__u006,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u006.wav,108.824,120.824,12.0,-25.000001907348633,0.32687264680862427,0.0,0.04991680532445923,"Got me wonderin', got me got me Got me wonderin', got me got me Wonderin' where you are",True,ok,train
bambam__101c236931__r0000__u007,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u007.wav,120.824,131.464,10.64,-25.0,0.5820966362953186,0.0,0.1125703564727955,Thank you for watching.,True,ok,train
bambam__101c236931__r0000__u008,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u008.wav,135.30933333333334,147.30933333333334,12.0,-25.0,0.3407938480377197,0.0,0.05324459234608985,"Who's driving you home, now you want to try raising it, calling your phone, make them continue sending it, wherever you go, getting turned away.",True,ok,train
bambam__101c236931__r0000__u009,bambam__101c236931__r0000,bambam,song,"ko, en",/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/02_vocals/uvr5/03_dereverb/bambam__101c236931__r0000/bambam__101c236931__r0000__dereverb.wav,/content/drive/MyDrive/Qwen3_SVS_Project/runs/NB01_20260205_091627/03_segments/voiced_chunks/bambam/bambam__101c236931__r0000__u009.wav,147.30933333333334,159.30933333333334,12.0,-25.0,0.2917286455631256,0.0,0.13477537437603992,Wondering where you are Who's driving you home Calling your phone Back home couldn't get,True,ok,train
